Type,ai,
Growth Regulator,6-BENZYLADENINE,x
Insecticide,AMITRAZ,x
Insecticide,AZINPHOS-METHYL,x
Growth Regulator,BACILLUS CEREUS,
Herbicide,BENFLURALIN,x
Insecticide,BUPROFEZIN,x
Fungicide,BURKHOLDERIA CEPACIA,
Insecticide,BURKHOLDERIA SPP,
Insecticide,CHLORFENAPYR,x
Fungicide,CONIOTHYRIUM MINITANS,
Fungicide,COPPER,
Fungicide,COPPER OXYCHLORIDE S,
Insecticide,CYANTRANILIPROLE,x
Growth Regulator,CYCLANILIDE,x
Growth Regulator,CYTOKININ,
Herbicide,DCPA,
Insecticide,DICOFOL,x
Herbicide,DIMETHIPIN,x
Growth Regulator,DIMETHIPIN,x
Insecticide,DINOTEFURAN,x
Herbicide,DIQUAT,
Growth Regulator,DIQUAT,
Herbicide,DSMA,x
Insecticide,EMAMECTIN,
Insecticide,ENDOSULFAN,
Herbicide,ENDOTHAL,
Growth Regulator,ENDOTHAL,
Herbicide,ETHAMETSULFURON,x
Growth Regulator,ETHEPHON,x
Fungicide,ETRIDIAZOLE,
Insecticide,FENAMIPHOS,x
Nematicide,FENAMIPHOS,x
Insecticide,FENPROPATHRIN,x
Insecticide,FLONICAMID,x
Herbicide,FLORASULAM,x
Herbicide,FLUCARBAZONE,
Fungicide,FLUDIOXONIL,x
Herbicide,FLUOMETURON,x
Herbicide,FLURIDONE,x
Insecticide,FORMETANATE,x
Growth Regulator,GIBBERELLIC ACID,
Herbicide,HEXAZINONE,x
Fungicide,HYDROGEN PEROXIDE,
Growth Regulator,IBA,
Herbicide,IMAZAMETHABENZ,
Herbicide,IMAZAPIC,x
Fungicide,IPRODIONE,x
Insecticide,KAOLIN CLAY,
Herbicide,MCPB,
Growth Regulator,MEPIQUAT,
Herbicide,MESOSULFURON,
Fungicide,METALAXYL,x
Nematicide,METAM,
Nematicide,METAM POTASSIUM,
Insecticide,METHAMIDOPHOS,x
Insecticide,METHIDATHION,x
Insecticide,NALED,x
Insecticide,NEEM OIL,x
Insecticide,OXAMYL,x
Nematicide,OXAMYL,
Insecticide,OXYDEMETON-METHYL,x
Insecticide,PARATHION,x
Insecticide,PHOSMET,x
Herbicide,PICLORAM,
Growth Regulator,PINOLENE,
Insecticide,PIRIMICARB,x
Insecticide,PROFENOFOS,x
Herbicide,PROPYZAMIDE,
Herbicide,PYRASULFOTOLE,x
Insecticide,PYRIFLUQUINAZON,x
Insecticide,PYRIPROXYFEN,x
Herbicide,PYRITHIOBAC-SODIUM,x
Fungicide,QUINTOZENE,x
Growth Regulator,SODIUM CHLORATE,
Insecticide,STEINERNEMA CARPOCAP,
Fungicide,STREPTOMYCES LYDICUS,
Growth Regulator,SULFCARBAMIDE,
Insecticide,SULPROFOS,
Insecticide,TEBUFENOZIDE,x
Herbicide,TERBACIL,x
Fungicide,TETRABOROHYDRATE,
Growth Regulator,THIDIAZURON,x
Growth Regulator,TRIBUFOS,
Herbicide,TRIFLOXYSULFURON,